SS18941,Stabilo Sensor F-tip Fineliner Pen Blue (Pack of 10) 189/41,15121,108,189/41,F,N,10,35.09,23.39,1,100011,4.01E+12,N.1,Unnamed: 14,SS18941.1,Stabilo,Stabilo.1,4,1.1,0.1,N.2,44121702,0,Stabilo Sensor F-tip Fline Blu Pk10,Unnamed: 25
,,,,,,N,,,,0,,,Y,167361,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,T70633,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,514421,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,878847,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,66862X,,,,,1,,Y,,0,,
,,,,,,N,,,,1,,,Y,258029,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,320465,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,623775,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,182414,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,182414,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,88137,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,283503,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,287048,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,642276,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,270827,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,663733,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,359331,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,113949,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,D63061,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,832971,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,471467,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,390044,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,189109,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,182430,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,182430,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,861595,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,623899,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,699047,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,248610,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,Y,368316,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,Y,22179,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,N,,,,,,1,,Y,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,132781,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,846459,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,241214,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,159479,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,571674,,,,,1,,Y,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,Y,,0,,
,,,,,,N,,,,1,,,N,694546,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,266902,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,845218,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,821567,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,13457X,,,,,1,,Y,,0,,
,,,,,,N,,,,1,,,Y,222136,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,B66853,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,997,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,699020,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,68653,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,536110,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,503786,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,398773,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,509894,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,625121,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,563830,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,279135,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,532429,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,16239,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,13364,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,226871,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,28753X,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,836819,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,248572,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,122471,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,536382,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,222225,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,171401,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,573721,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,1,,Y,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,843690,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,43010,,,,,997,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,275648,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,231436,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,491311,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,704020,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,572203,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,729709,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,492762,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,512434,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,999,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,574611,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,496408,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,391036,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,N,,,,,,1,,Y,,0,,
,,,,,,N,,,,1,,,Y,697569,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,876677,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,23700,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,258045,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,590574,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,875062,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,182465,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,182465,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,591761,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,60602,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,113858,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,471662,,,,,997,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,774296,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,14,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,19359,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,421368,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,1049,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,403811,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,569388,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,Y,,,,0,,,Y,368251,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,261474,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,Y,,,,0,,,Y,610974,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,833381,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,108211,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,415967,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,127613,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,320643,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,229022,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,Y,,0,,
,,,,,,N,,,,1,,,Y,718619,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,L26039,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,742845,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,E27266,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,534489,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,182422,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,L20219,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,148914,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,227385,,,,,1,,N,,0,,
,,,,,,Y,,,,0,,,Y,539699,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,208383,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,999,,N,,0,,
,,,,,,N,,,,1,,,Y,01470X,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,390109,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,18868,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,346881,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,C26766,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,N,643808,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,112929,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,147354,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,118242,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,134474,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,101558,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,B22170,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,14084,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,F63060,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,Y,,,,0,,,Y,430903,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,854787,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,843721,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,873377,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,Y,468582,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,H28866,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,215666,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,799418,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,624185,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,389713,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,694295,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,499474,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,774288,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,536358,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,701707,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,446236,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,507842,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,844124,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,174842,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,324882,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,655872,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,336241,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,36134,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,Y,,0,,
,,,,,,N,,,,1,,,Y,780506,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,796188,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,659300,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,118277,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,25701,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,113829,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,E67008,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,N,13038,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,108181,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,435900,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,331920,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,1,,Y,,0,,
,,,,,,N,,,,1,,,N,657177,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,192663,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,13291,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,1,,Y,,0,,
,,,,,,N,,,,1,,,N,370602,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,81287,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,28,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,998,,Y,,0,,
,,,,,,N,,,,1,,,N,114030,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,572211,,,,,1,,N,,0,,
,,,,,,Y,,,,0,,,Y,374396,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,171404,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,N,69939X,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,248603,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,08817X,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,571887,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,292714,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,839911,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,01659X,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,281286,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,Y,22071,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,137500,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,114012,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,04787X,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,202223,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,536455,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,471572,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,260334,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,16611,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,53809X,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,566888,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,208532,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,568420,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,63838,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,627327,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,Y,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,113977,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,603012,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,790358,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
